"fighter","date","current_lose_streak","current_win_streak","draw","avg_BODY_att","avg_BODY_landed","avg_CLINCH_att","avg_CLINCH_landed","avg_DISTANCE_att","avg_DISTANCE_landed","avg_GROUND_att","avg_GROUND_landed","avg_HEAD_att","avg_HEAD_landed","avg_KD","avg_LEG_att","avg_LEG_landed","avg_PASS","avg_REV","avg_SIG_STR_att","avg_SIG_STR_landed","avg_SIG_STR_pct","avg_SUB_ATT","avg_TD_att","avg_TD_landed","avg_TD_pct","avg_TOTAL_STR_att","avg_TOTAL_STR_landed","longest_win_streak","losses","avg_opp_BODY_att","avg_opp_BODY_landed","avg_opp_CLINCH_att","avg_opp_CLINCH_landed","avg_opp_DISTANCE_att","avg_opp_DISTANCE_landed","avg_opp_GROUND_att","avg_opp_GROUND_landed","avg_opp_HEAD_att","avg_opp_HEAD_landed","avg_opp_KD","avg_opp_LEG_att","avg_opp_LEG_landed","avg_opp_PASS","avg_opp_REV","avg_opp_SIG_STR_att","avg_opp_SIG_STR_landed","avg_opp_SIG_STR_pct","avg_opp_SUB_ATT","avg_opp_TD_att","avg_opp_TD_landed","avg_opp_TD_pct","avg_opp_TOTAL_STR_att","avg_opp_TOTAL_STR_landed","total_rounds_fought","total_time_fought.seconds.","total_title_bouts","win_by_Decision_Majority","win_by_Decision_Split","win_by_Decision_Unanimous","win_by_KO.TKO","win_by_Submission","win_by_TKO_Doctor_Stoppage","wins","Stance","Height_cms","Reach_cms","Weight_lbs","age","distance_att","close_att","ground_att","distance_def","close_def","ground_def","total_normal_att","head_att_pct","head_att_acc","body_att_pct","body_att_acc","leg_att_pct","leg_att_acc","url"
"Chad Griggs","2012-11-17",1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,10,6,0,1,2,1,2,2,5,2,1,0,5,2,0,1,1,2,0,8,4,0.5,1,2,1,0.5,11,7,1,149,0,0,0,0,0,0,0,0,"Orthodox",185.42,185.42,205,34,0,0,0,0.6,0,1,3,1,0,0,0,0,0,"/fighter/Chad-Griggs-15932"
"Chad Laprise","2018-12-08",1,0,0,13,9.888888889,5.111111111,3.111111111,93.66666667,37.88888889,5.888888889,3.666666667,82.88888889,26.33333333,0.333333333,8.777777778,8.444444444,0.777777778,0,104.6666667,44.66666667,0.442222222,0,1.222222222,0.666666667,0.285555556,111.2222222,50.33333333,3,3,10.88888889,6.666666667,4.555555556,3.777777778,86.22222222,27.22222222,5,2.666666667,73.55555556,17.88888889,0.333333333,11.33333333,9.111111111,0.222222222,0.222222222,95.77777778,33.66666667,0.357777778,0,1.555555556,0.333333333,0.061111111,98.22222222,35.44444444,19,561.3333333,1,0,1,2,3,0,0,6,"Orthodox",177.8,180.34,170,32,0.404507710555,0.608695652165406,0.622641509478818,0.6842783505331,0.170731707349197,0.4666666666,104.666666668,0.79193205944851,0.317694369928717,0.124203821654469,0.760683760692308,0.0838641188970208,0.962025316380708,"/fighter/Chad-Laprise-69681"
"Chad Mendes","2018-12-29",0,1,0,3.230769231,2.076923077,2.384615385,1.538461538,42.30769231,18.15384615,9.692307692,7.461538462,42.15384615,18.53846154,0.538461538,9,6.538461538,0.461538462,0,54.38461538,27.15384615,0.577692308,0.153846154,4,1.846153846,0.260769231,59.46153846,31.76923077,5,4,6.769230769,4.076923077,1.461538462,0.615384615,65.53846154,18.92307692,2,1.846153846,57.69230769,14.61538462,0.307692308,4.538461538,2.692307692,0.153846154,0,69,21.38461538,0.273846154,0.153846154,1.076923077,0,0,84.46153846,36.23076923,26,494.2307692,3,0,0,3,6,0,0,9,"Orthodox",167.64,167.64,145,33,0.429090908976595,0.645161290024974,0.769841269913328,0.711267605687529,0.578947368817175,0.076923077,54.384615381,0.775106082017581,0.439781021974433,0.0594059406022519,0.642857142835034,0.165487977380167,0.726495726444444,"/fighter/Chad-Mendes-38393"
"Chad Reiner","2007-06-12",1,0,0,4,2,6,3,24,3,0,0,22,3,0,4,1,1,0,30,6,0.2,2,3,1,0.33,68,41,0,1,3,3,10,9,15,4,24,14,37,16,0,9,8,4,1,49,27,0.55,0,12,9,0.75,94,69,3,900,0,0,0,0,0,0,0,0,"Orthodox",180.34,184.716075383022,170,25,0.125,0.5,0,0.733333333333333,0.1,0.416666666666667,30,0.733333333333333,0.136363636363636,0.133333333333333,0.5,0.133333333333333,0.25,"/fighter/Chad-Reiner-14016"
"Chael Sonnen","2013-11-16",0,1,0,7.615384615,5.153846154,7.538461538,5.461538462,33.23076923,9.461538462,27.38461538,16.38461538,52.76923077,19.76923077,0,7.769230769,6.384615385,2.461538462,0.076923077,68.15384615,31.30769231,0.492307692,0.307692308,5.230769231,2.846153846,0.472307692,159.8461538,111.6923077,3,6,4.230769231,3.076923077,4.153846154,2.538461538,26.30769231,6.307692308,5.615384615,4.076923077,31.07692308,9.230769231,0.076923077,0.769230769,0.615384615,0.307692308,0.076923077,36.07692308,12.92307692,0.404615385,1.384615385,1.846153846,0.769230769,0.210769231,55.30769231,31,31,639.2307692,3,0,0,5,0,2,0,7,"Southpaw",185.42,187.96,205,36,0.284722222242702,0.724489796023948,0.598314606673873,0.760233918137991,0.388888889022634,0.2739726026763,68.153846154,0.774266365698026,0.374635568522236,0.111738148978303,0.676767676822059,0.11399548532367,0.821782178291736,"/fighter/Chael-Sonnen-4112"
"Chan Sung Jung","2018-11-10",0,1,0,4.8,3.4,2.8,2.4,72.6,21.4,7.8,5,74.8,23.2,0.4,3.6,2.2,1.4,0,83.2,28.8,0.4,0.8,1.4,1,0.3,110.2,52.6,3,1,4,3.2,3,1.8,62.4,22,1.8,0.8,57.6,17.8,0,5.6,3.6,0.6,0.4,67.2,24.6,0.31,0,2.8,1,0.166,74.4,30.6,12,548.4,1,0,0,0,2,2,0,4,"Orthodox",170.18,182.88,145,31,0.294765840220386,0.857142857142857,0.641025641025641,0.647435897435897,0.4,0.555555555555556,83.2,0.899038461538462,0.310160427807487,0.0576923076923077,0.708333333333333,0.0432692307692308,0.611111111111111,"/fighter/Chan-Sung-Jung-36155"
"Chance Rencountre","2019-01-19",1,0,0,14,3,0,0,123,16,0,0,102,8,0,7,5,0,0,123,16,0.13,0,3,0,0,123,16,0,1,11,8,1,0,124,65,5,5,99,45,0,20,17,1,0,130,70,0.53,1,4,3,0.75,149,88,3,900,0,0,0,0,0,0,0,0,"Southpaw",187.96,190.5,170,32,0.130081300813008,0,0,0.475806451612903,1,0,123,0.829268292682927,0.0784313725490196,0.113821138211382,0.214285714285714,0.0569105691056911,0.714285714285714,NA
"Chanmi Jeon","2017-09-22",1,0,0,30,15,4,2,244,88,2,2,183,47,0,37,30,0,0,250,92,0.36,0,0,0,0,252,93,0,1,13,7,9,7,236,91,0,0,209,71,0,23,20,0,0,245,98,0.4,0,0,0,0,245,98,3,900,0,0,0,0,0,0,0,0,"Orthodox",165.1,170.18,115,20,0.360655737704918,0.5,1,0.614406779661017,0.222222222222222,0,250,0.732,0.256830601092896,0.12,0.5,0.148,0.810810810810811,NA
"Charles Byrd","2019-03-02",1,0,0,2,1.5,9.5,6.5,22.5,12.5,6.5,5.5,34.5,21.5,0,2,1.5,1.5,0,38.5,24.5,0.69,0.5,2,0.5,0.5,63,46.5,1,1,3,3,9,7,24,5,0,0,29.5,8.5,0.5,0.5,0.5,0,0,33,12,0.18,0,0,0,0,35.5,14.5,3,337.5,0,0,0,0,0,1,0,1,"Orthodox",177.8,185.42,185,35,0.555555555555556,0.684210526315789,0.846153846153846,0.791666666666667,0.222222222222222,0,38.5,0.896103896103896,0.623188405797101,0.051948051948052,0.75,0.051948051948052,0.75,NA
"Charles McCarthy","2008-04-19",0,1,0,0.5,0.5,0.5,0.5,6,0.5,0,0,6,0.5,0,0,0,1,0,6.5,1,0.08,1,2,1,0.665,16,5,1,1,3.5,3,0.5,0.5,19.5,7,13,7,26,9.5,0.5,3.5,2,0,0,33,14.5,0.42,0,0,0,0,38,19.5,3,356.5,0,0,0,0,0,1,0,1,"Orthodox",177.8,180.34,185,27,0.0833333333333333,1,0,0.641025641025641,0,0.461538461538462,6.5,0.923076923076923,0.0833333333333333,0.0769230769230769,1,0,0,"/fighter/Charles-McCarthy-7987"
"Charles Oliveira","2019-05-18",0,4,0,8.608695652,5.739130435,6.652173913,4.782608696,29.43478261,12,5.347826087,3.782608696,28.13043478,11.13043478,0.086956522,4.695652174,3.695652174,1.347826087,0.130434783,41.43478261,20.56521739,0.483913043,1.260869565,3,1.304347826,0.477826087,52.7826087,31.04347826,4,9,6.434782609,4.260869565,3.130434783,1.956521739,32.82608696,13.2173913,8,5.086956522,34.69565217,13.95652174,0.086956522,2.826086957,2.043478261,0.869565217,0.260869565,43.95652174,20.26086957,0.435217391,0.347826087,1.52173913,0.608695652,0.244782609,51.95652174,27.34782609,42,400.5652174,0,0,0,1,0,13,0,14,"Orthodox",177.8,187.96,155,29,0.407680945329054,0.718954248423,0.707317073230022,0.597350993552599,0.375000000119792,0.36413043475,41.434782606,0.678908709320139,0.395672333792489,0.207764952790012,0.666666666705387,0.113326337889849,0.787037037040981,"/fighter/Charles-Oliveira-30300"
"Charles Rosa","2017-04-08",0,1,0,12.75,6.5,4.5,2.5,113.25,40.5,8.25,4.5,99,31,0,14.25,10,3.75,0.75,126,47.5,0.37,1.25,8.5,3.25,0.3975,139,57,1,2,9.5,7,9.5,6,89.25,41,7.25,5.5,83.25,33.25,0.25,13.25,12.25,4,1,106,52.5,0.4925,0.75,4,2,0.655,140.5,82.75,12,895.75,0,0,0,1,0,1,0,2,"Switch",175.26,175.26,145,30,0.357615894039735,0.555555555555556,0.545454545454545,0.5406162464986,0.368421052631579,0.241379310344828,126,0.785714285714286,0.313131313131313,0.101190476190476,0.509803921568627,0.113095238095238,0.701754385964912,"/fighter/Charles-Rosa-71116"
"Charlie Brenneman","2014-11-08",4,0,0,5.6,5.2,3.7,1.8,9.3,2.8,8.9,7.9,13.8,5,0,2.5,2.3,2.7,0.1,21.9,12.5,0.488,0,4.9,2.1,0.309,65.1,50.7,2,6,4.7,3.6,4.1,2.7,14.7,5.7,5.3,4.4,17,7.5,0.6,2.4,1.7,0.6,0.3,24.1,12.8,0.532,1.3,1,0.2,0.05,40.6,28.4,20,485.3,0,0,0,4,0,0,0,4,"Orthodox",177.8,182.88,155,33,0.301075268817204,0.486486486486486,0.887640449438202,0.612244897959184,0.341463414634146,0.169811320754717,21.9,0.63013698630137,0.36231884057971,0.255707762557078,0.928571428571429,0.114155251141553,0.92,"/fighter/Charlie-Brenneman-23403"
"Charlie Ward","2017-07-16",1,0,0,0,0,1,1,13,1,0,0,14,2,0,0,0,0,0,14,2,0.14,0,0,0,0,15,2,0,1,0,0,2,2,16,7,4,3,22,12,3,0,0,0,0,22,12,0.54,0,0,0,0,22,12,1,53,0,0,0,0,0,0,0,0,"Orthodox",180.34,185.42,170,36,0.0769230769230769,1,0,0.5625,0,0.25,14,1,0.142857142857143,0,0,0,0,NA
"Chas Skelly","2018-11-10",1,0,0,3.666666667,2.111111111,5.777777778,4,36.55555556,11.55555556,2.777777778,2.333333333,40.88888889,15.22222222,0.111111111,0.555555556,0.555555556,2,0.444444444,45.11111111,17.88888889,0.442222222,1.555555556,3.333333333,1.111111111,0.338888889,58,29,4,3,7,5,7.666666667,6.111111111,37.44444444,14.55555556,15.55555556,12.11111111,49.88888889,24.44444444,0.222222222,3.777777778,3.333333333,1.111111111,0.666666667,60.66666667,32.77777778,0.441111111,0.555555556,2.111111111,1.333333333,0.292222222,87.33333333,56.11111111,20,549.8888889,0,0,0,1,1,4,0,6,"Orthodox",180.34,182.88,145,33,0.316109422575549,0.692307692281065,0.8399999998128,0.611275964226858,0.202898550773787,0.221428571722449,45.111111113,0.906403940873377,0.372282608631188,0.0812807881813257,0.575757575674931,0.0123152709452971,1,"/fighter/Chas-Skelly-47227"
"Chase Gormley","2010-03-21",1,0,0,7,4,2,2,6,1,15,5,16,4,0,0,0,0,0,23,8,0.34,1,1,1,1,28,10,0,1,0,0,0,0,6,5,10,7,11,7,0,5,5,1,1,16,12,0.75,3,1,1,1,41,32,1,244,0,0,0,0,0,0,0,0,"Orthodox",190.5,195.122614841221,265,29.6899842938263,0.166666666666667,1,0.333333333333333,0.166666666666667,0,0.3,23,0.695652173913043,0.25,0.304347826086957,0.571428571428571,0,0,"/fighter/Chase-Gormley-22247"
"Chase Sherman","2018-09-22",2,0,0,16.66666667,12,8.333333333,6.666666667,126.8333333,51.33333333,4.5,3.166666667,103.3333333,33,0.166666667,19.66666667,16.16666667,0.166666667,0,139.6666667,61.16666667,0.41,0,0,0,0,147.8333333,69.33333333,2,4,7.833333333,5.833333333,6.666666667,4.5,105.1666667,47.5,3.666666667,3.166666667,104,46.66666667,0.5,3.666666667,2.666666667,0.166666667,0,115.5,55.16666667,0.5,0,1.333333333,0.166666667,0.083333333,123.5,62.66666667,14,626.8333333,0,0,0,1,1,0,0,2,"Orthodox",193.04,198.12,250,28,0.404730617688497,0.800000000072,0.703703703777778,0.548335974786581,0.32500000003375,0.13636363635124,139.66666664,0.739856801811906,0.319354838812695,0.119331742290087,0.719999999856,0.140811455898007,0.822033898335249,NA
"Che Mills","2013-02-16",0,1,0,0.666666667,0.666666667,2.666666667,2,9.333333333,3.666666667,5,2.666666667,14,5.666666667,0.666666667,2.333333333,2,1,0,17,8.333333333,0.52,0,0.666666667,0.666666667,0.333333333,26.33333333,16,1,1,0.666666667,0.666666667,0.666666667,0.333333333,8.666666667,1.666666667,20.33333333,14.66666667,27.66666667,15.66666667,0,1.333333333,0.333333333,2.666666667,0,29.66666667,16.66666667,0.326666667,0,1,0.666666667,0.333333333,40.66666667,27,4,209.3333333,0,0,0,0,2,0,0,2,"Orthodox",185.42,193.04,170,30,0.392857142906888,0.74999999990625,0.5333333334,0.807692307661243,0.50000000075,0.278688524307982,17,0.823529411764706,0.404761904785714,0.0392156862941176,1,0.137254901941176,0.857142857265306,"/fighter/Che-Mills-8800"
"Cheick Kongo","2013-04-27",0,1,0,10.29411765,8.882352941,14.47058824,12.58823529,31.58823529,12.41176471,11.64705882,8.529411765,34.70588235,14.88235294,0.235294118,12.70588235,9.764705882,0.705882353,0.176470588,57.70588235,33.52941176,0.574705882,0.176470588,2.235294118,1.411764706,0.425882353,86.11764706,59.82352941,3,6,6.941176471,5.176470588,3.882352941,1.941176471,16.29411765,5.176470588,9.764705882,6.529411765,20.29411765,6.058823529,0.294117647,2.705882353,2.411764706,1.882352941,0.117647059,29.94117647,13.64705882,0.427058824,0.352941176,3.529411765,1.647058824,0.301176471,60.82352941,41.58823529,36,569.5882353,0,1,0,3,6,0,1,11,"Orthodox",193.04,208.28,240,37,0.392923650088463,0.869918698619539,0.732323232570401,0.682310469385865,0.499999999871212,0.33132530115053,57.70588235,0.601427115168269,0.428813559324476,0.178389398632945,0.862857142593469,0.220183486198786,0.768518518668639,"/fighter/Cheick-Kongo-2193"
"Chico Camus","2015-09-26",1,0,0,4.857142857,3.285714286,4.571428571,3.142857143,60.28571429,23.28571429,12.57142857,7.714285714,70,28.57142857,0,2.571428571,2.285714286,2.428571429,0.714285714,77.42857143,34.14285714,0.461428571,0.428571429,1.714285714,0.857142857,0.355714286,106,59.71428571,1,4,11.28571429,6.571428571,7,3.714285714,66.14285714,20.14285714,10.71428571,6,68.42857143,20.14285714,0,4.142857143,3.142857143,3.857142857,0.571428571,83.85714286,29.85714286,0.358571429,1.142857143,5.428571429,1.714285714,0.395714286,144.7142857,83.57142857,21,872.8571429,0,0,1,2,0,0,0,3,"Orthodox",167.64,167.64,125,30,0.386255924214247,0.687500000095703,0.613636363683368,0.695464362881014,0.469387755142857,0.439999999776,77.428571428,0.904059040597078,0.408163265285714,0.062730627304891,0.676470588314014,0.0332103320980311,0.888888889148148,"/fighter/Chico-Camus-42850"
"Chris Avila","2016-11-05",1,0,0,15,6,12,5,114,36,2,1,104,27,0,9,9,0,0,128,42,0.32,0,1,0,0,150,63,0,1,19,11,9,5,108,48,0,0,69,15,0,29,27,0,0,117,53,0.45,0,1,0,0,128,63,3,900,0,0,0,0,0,0,0,0,"Orthodox",177.8,182.88,145,23,0.315789473684211,0.416666666666667,0.5,0.555555555555556,0.444444444444444,0,128,0.8125,0.259615384615385,0.1171875,0.4,0.0703125,1,NA
"Chris Beal","2016-06-18",2,0,0,7.25,5,13,7.5,71.5,17.5,20.5,12.5,96.25,31,0.25,1.5,1.5,3.25,0.75,105,37.5,0.3575,0.25,3,1.75,0.4375,125.75,57.25,2,2,9.5,5.25,7.25,4.25,87,30.25,7.5,5.75,79.25,27,0,13,8,1,0.75,101.75,40.25,0.3925,1,4,1,0.275,137,70.25,11,777.75,0,0,0,1,1,0,0,2,"Orthodox",170.18,175.26,125,30,0.244755244755245,0.576923076923077,0.609756097560976,0.652298850574713,0.413793103448276,0.233333333333333,105,0.916666666666667,0.322077922077922,0.0690476190476191,0.689655172413793,0.0142857142857143,1,"/fighter/Chris-Beal-53369"
"Chris Brennan","2002-01-11",1,0,0,2,1,1,1,9,1,0,0,8,1,0,0,0,1,0,10,2,0.2,1,1,1,1,83,70,0,1,2,1,0,0,7,3,7,3,10,4,0,2,1,1,0,14,6,0.42,1,0,0,0,77,67,1,542,1,0,0,0,0,0,0,0,"Orthodox",172.72,176.911170789373,170,30,0.111111111111111,1,0,0.571428571428571,0,0.571428571428571,10,0.8,0.125,0.2,0.5,0,0,"/fighter/Chris-Brennan-64"
"Chris Camozzi","2017-05-28",2,0,0,9.555555556,7.055555556,9.555555556,6.666666667,87,36.22222222,1.333333333,1,74.94444444,25.77777778,0.055555556,13.38888889,11.05555556,0.388888889,0.055555556,97.88888889,43.88888889,0.487222222,0.333333333,1.166666667,0.222222222,0.097222222,112.1666667,55.88888889,4,9,11.72222222,6.777777778,10.05555556,7.055555556,66.44444444,24.27777778,4.666666667,3.388888889,59.27777778,19.11111111,0.055555556,10.16666667,8.833333333,1.666666667,0.055555556,81.16666667,34.72222222,0.426666667,0.333333333,4.222222222,1.722222222,0.409444444,97.55555556,48.27777778,46,697.1111111,0,0,2,4,1,1,1,9,"Orthodox",187.96,193.04,185,30,0.41634738183908,0.697674418607085,0.7500000001875,0.634615384557499,0.29834254170239,0.273809523837585,97.888888886,0.765607264449382,0.343958487818767,0.0976163450698502,0.738372093035425,0.136776390480768,0.825726141342263,"/fighter/Chris-Camozzi-17224"
"Chris Cariaso","2015-10-03",2,0,0,18.66666667,13.25,15.08333333,10.75,85.66666667,31.16666667,6.666666667,4.25,81.83333333,27.16666667,0,6.916666667,5.75,1.333333333,0.083333333,107.4166667,46.16666667,0.418333333,0.5,2.083333333,0.833333333,0.325833333,127.9166667,65.25,3,5,14.91666667,10.66666667,11.41666667,7.5,61.41666667,20.08333333,7.583333333,5.25,60.58333333,18.25,0,4.916666667,3.916666667,1.916666667,0.083333333,80.41666667,32.83333333,0.415,0.5,5.833333333,2.416666667,0.488333333,107.8333333,57.66666667,34,815.9166667,1,0,2,4,1,0,0,7,"Southpaw",160.02,160.02,125,34,0.363813229596739,0.712707182477946,0.637499999968125,0.672998643219919,0.343065693622463,0.307692307661877,107.416666667,0.761830876615169,0.331975560135722,0.173778122606133,0.709821428444675,0.0643910007786986,0.831325301164755,"/fighter/Chris-Cariaso-16467"
"Chris Clements","2015-04-25",0,1,0,14,10.25,11.5,9,49.5,23.5,6.25,4.5,44.25,18.25,0.5,9,8.5,0,0,67.25,37,0.59,0,0.5,0,0,81.5,50.25,1,2,4.75,3.5,3.75,2.5,27.5,13.25,7.75,5.75,32.5,16.5,0.5,1.75,1.5,3.25,0,39,21.5,0.6225,0.5,4.75,2.75,0.6375,66.75,46.5,9,548.75,0,0,1,0,1,0,0,2,"Orthodox",177.8,177.8,170,39,0.474747474747475,0.782608695652174,0.72,0.518181818181818,0.333333333333333,0.258064516129032,67.25,0.657992565055762,0.412429378531073,0.20817843866171,0.732142857142857,0.133828996282528,0.944444444444444,"/fighter/Chris-Clements-13469"
"Chris Cope","2012-02-04",1,0,0,17.5,9.5,5,4.5,119,29,0,0,92,14.5,0,14.5,9.5,0,0,124,33.5,0.185,0,0.5,0,0,133,42,1,1,5.5,4.5,4,4,63,23.5,3.5,1.5,52,13.5,1,13,11,0,0,70.5,29,0.525,0,1,0,0,71,29.5,4,470,0,0,0,1,0,0,0,1,"Orthodox",182.88,182.88,170,28,0.243697478991597,0.9,0,0.626984126984127,0,0.571428571428571,124,0.741935483870968,0.157608695652174,0.141129032258065,0.542857142857143,0.116935483870968,0.655172413793103,"/fighter/Chris-Cope-25784"
"Chris de la Rocha","2018-12-15",0,1,0,4.666666667,4,6,4.666666667,49.66666667,16,7.333333333,6,56,20.66666667,0,2.333333333,2,1.666666667,0,63,26.66666667,0.323333333,0.666666667,3.666666667,1,0.25,81,41,1,2,4.333333333,3,10,6.666666667,53,26.66666667,1.333333333,1,59.33333333,30.66666667,0.333333333,0.666666667,0.666666667,0,0,64.33333333,34.33333333,0.59,0,0.333333333,0,0,65.66666667,35.33333333,5,374,0,0,0,0,1,0,0,1,"Orthodox",190.5,203.2,250,39,0.322147650985091,0.777777777833333,0.818181818219008,0.496855345849057,0.3333333333,0.2499999998125,63,0.888888888888889,0.369047619107143,0.0740740740793651,0.857142857081633,0.037037037031746,0.857142857265306,"/fighter/Chris-de-la-Rocha-146377"
"Chris Dempsey","2016-02-27",1,0,0,2.333333333,2,3.333333333,2.333333333,43.66666667,11,2,1.666666667,46,12.66666667,0,0.666666667,0.333333333,0.666666667,0,49,15,0.17,0,4.333333333,1,0.083333333,57.33333333,22.33333333,1,2,0.666666667,0.666666667,2,0.666666667,56.66666667,17.33333333,1,1,57,16.33333333,0.333333333,2,2,0.333333333,0,59.66666667,19,0.423333333,0,1.333333333,1.333333333,0.666666667,64.66666667,23,5,359,0,0,1,0,0,0,0,1,"Orthodox",177.8,182.88,185,28,0.251908396927335,0.69999999997,0.8333333335,0.69411764713564,0.6666666665,0,49,0.938775510204082,0.275362318913043,0.0476190476122449,0.857142857265306,0.0136054421836735,0.49999999925,"/fighter/Chris-Dempsey-79277"
"Chris Fishgold","2019-06-01",0,1,0,2.5,1,5,2.5,45.5,13.5,3,1,46.5,13.5,0,4.5,2.5,2.5,0,53.5,17,0.345,1,6,3,0.5,57,19.5,1,1,2,2,1,0.5,27.5,12,12,8,38,18.5,0.5,0.5,0,0.5,0,40.5,20.5,0.505,0,0.5,0.5,0.5,53,30,3,310.5,0,0,0,0,0,1,0,1,"Orthodox",172.72,172.72,145,26,0.296703296703297,0.5,0.333333333333333,0.563636363636364,0.5,0.333333333333333,53.5,0.869158878504673,0.290322580645161,0.0467289719626168,0.4,0.0841121495327103,0.555555555555556,NA
"Chris Gruetzemacher","2018-04-07",2,0,0,16.66666667,12.33333333,12.33333333,9.333333333,89,45,6,4.666666667,69.66666667,27.33333333,0,21,19.33333333,0,0,107.3333333,59,0.56,0,0,0,0,136.6666667,85.66666667,1,2,15.66666667,12.66666667,16,10.33333333,102.3333333,45,3.333333333,1.333333333,103.3333333,41.33333333,0,2.666666667,2.666666667,2.666666667,0,121.6666667,56.66666667,0.443333333,0.666666667,7.333333333,3,0.47,130,64.33333333,8,657,0,0,0,1,0,0,0,1,"Orthodox",172.72,172.72,155,31,0.50561797752809,0.756756756934259,0.777777777833333,0.560260586175981,0.354166666875,0.60000000006,107.33333334,0.649068322972108,0.392344497541036,0.155279503127001,0.739999999652,0.195652173900891,0.92063492047619,"/fighter/Chris-Gruetzemacher-36924"
"Chris Gutierrez","2019-03-23",1,0,0,4,0,0,0,48,23,4,3,25,9,0,23,17,0,0,52,26,0.5,0,1,0,0,60,32,0,1,0,0,0,0,22,3,41,32,60,33,0,3,2,3,0,63,35,0.55,1,2,2,1,118,83,2,552,0,0,0,0,0,0,0,0,"Orthodox",175.26,175.26,135,27,0.479166666666667,0,0.75,0.863636363636364,0,0.219512195121951,52,0.480769230769231,0.36,0.0769230769230769,0,0.442307692307692,0.739130434782609,NA
"Chris Heatherly","2014-11-15",1,0,0,3,3,0,0,4,3,1,1,2,1,0,0,0,1,0,5,4,0.8,0,1,1,1,9,7,0,1,1,1,0,0,4,3,2,1,3,1,0,2,2,0,0,6,4,0.66,2,0,0,0,11,6,1,138,0,0,0,0,0,0,0,0,"Orthodox",175.26,172.72,155,26,0.75,0,1,0.25,0,0.5,5,0.4,0.5,0.6,1,0,0,"/fighter/Chris-Heatherly-101117"
"Chris Holdsworth","2014-05-24",0,1,0,9,4,14,8,34,7,2,0,37,7,0,4,4,2,0,50,15,0.3,1,2,1,0.5,78,41,1,0,18,11,10,5,34,13,0,0,21,4,0,5,3,0,0,44,18,0.4,0,3,0,0,45,19,2,430,1,0,0,0,0,1,0,1,"Orthodox",180.34,180.34,135,26,0.205882352941176,0.571428571428571,0,0.617647058823529,0.5,0,50,0.74,0.189189189189189,0.18,0.444444444444444,0.08,1,"/fighter/Chris-Holdsworth-51225"
"Chris Indich","2014-06-28",1,0,0,5,1,10,3,39,9,0,0,32,3,0,12,8,0,0,49,12,0.24,2,1,0,0,65,27,0,1,20,15,53,39,52,16,17,16,93,50,0,9,6,2,0,122,71,0.58,0,9,5,0.55,212,153,3,900,0,0,0,0,0,0,0,0,"Orthodox",177.8,185.42,170,27,0.230769230769231,0.3,0,0.692307692307692,0.264150943396226,0.0588235294117647,49,0.653061224489796,0.09375,0.102040816326531,0.2,0.244897959183673,0.666666666666667,"/fighter/Chris-Indich-42419"
"Chris Kelades","2016-04-23",0,1,0,13,10.33333333,9.666666667,7.666666667,42,16.33333333,17,10.66666667,52,21.66666667,0,3.666666667,2.666666667,2.333333333,0.333333333,68.66666667,34.66666667,0.453333333,0.333333333,5,1,0.17,109.6666667,68.66666667,1,1,7,5.666666667,5.333333333,3.333333333,40,14.66666667,16.66666667,12.66666667,52,22,0,3,3,5,0.333333333,62,30.66666667,0.55,1.333333333,5.333333333,3.333333333,0.61,95.66666667,61,9,858.6666667,0,0,1,1,0,0,0,2,"Orthodox",170.18,172.72,125,35,0.388888888809524,0.793103448282997,0.627450980588235,0.63333333325,0.375000000023437,0.239999999952,68.666666667,0.757281553394382,0.416666666730769,0.189320388348596,0.794871794615385,0.0533980582570223,0.727272727297521,"/fighter/Chris-Kelades-51576"
"Chris Leben","2013-12-28",3,0,0,7.047619048,4.380952381,14.19047619,7.666666667,38.57142857,13.04761905,9.142857143,6,46.19047619,16.38095238,0.238095238,8.666666667,5.952380952,1.047619048,0,61.9047619,26.71428571,0.454761905,0.476190476,1.761904762,0.80952381,0.36047619,124,84.76190476,5,9,7,5.285714286,11.28571429,6.714285714,35.85714286,14.76190476,8.19047619,4.571428571,44.85714286,18.14285714,0.238095238,3.476190476,2.619047619,1.238095238,0.047619048,55.33333333,26.04761905,0.481904762,0.380952381,3.380952381,1.523809524,0.371904762,74,43,45,554.047619,0,0,1,2,7,2,0,12,"Southpaw",180.34,187.96,185,33,0.338271605012529,0.540268456417459,0.656249999989746,0.588313413100533,0.405063291390482,0.441860465136155,61.904761905,0.746153846143284,0.354639175240769,0.11384615385187,0.621621621594777,0.140000000004846,0.686813186742815,"/fighter/Chris-Leben-6258"
