"fighter","date","current_lose_streak","current_win_streak","draw","avg_BODY_att","avg_BODY_landed","avg_CLINCH_att","avg_CLINCH_landed","avg_DISTANCE_att","avg_DISTANCE_landed","avg_GROUND_att","avg_GROUND_landed","avg_HEAD_att","avg_HEAD_landed","avg_KD","avg_LEG_att","avg_LEG_landed","avg_PASS","avg_REV","avg_SIG_STR_att","avg_SIG_STR_landed","avg_SIG_STR_pct","avg_SUB_ATT","avg_TD_att","avg_TD_landed","avg_TD_pct","avg_TOTAL_STR_att","avg_TOTAL_STR_landed","longest_win_streak","losses","avg_opp_BODY_att","avg_opp_BODY_landed","avg_opp_CLINCH_att","avg_opp_CLINCH_landed","avg_opp_DISTANCE_att","avg_opp_DISTANCE_landed","avg_opp_GROUND_att","avg_opp_GROUND_landed","avg_opp_HEAD_att","avg_opp_HEAD_landed","avg_opp_KD","avg_opp_LEG_att","avg_opp_LEG_landed","avg_opp_PASS","avg_opp_REV","avg_opp_SIG_STR_att","avg_opp_SIG_STR_landed","avg_opp_SIG_STR_pct","avg_opp_SUB_ATT","avg_opp_TD_att","avg_opp_TD_landed","avg_opp_TD_pct","avg_opp_TOTAL_STR_att","avg_opp_TOTAL_STR_landed","total_rounds_fought","total_time_fought.seconds.","total_title_bouts","win_by_Decision_Majority","win_by_Decision_Split","win_by_Decision_Unanimous","win_by_KO.TKO","win_by_Submission","win_by_TKO_Doctor_Stoppage","wins","Stance","Height_cms","Reach_cms","Weight_lbs","age","DistanceAtt","CloseAtt","GroundAtt","DistanceDef","CloseDef","GroundDef","HeadAttactPct","HeadAttactAccuracy","BodyAttactPct","BodyAttactAccuracy","LegAttactPct","LegAttactAccuracy","distance_att","close_att","ground_att","distance_def","close_def","ground_def","total_normal_att","head_att_pct","head_att_acc","body_att_pct","body_att_acc","leg_att_pct","leg_att_acc","url"
"Drakkar Klose",2019-06-01,0,1,0,20.33333333,18.66666667,22.33333333,18,78.66666667,34.66666667,1.666666667,1.333333333,71.33333333,26.66666667,0,11,8.666666667,0.333333333,0,102.6666667,54,0.52,0,4.333333333,1.666666667,0.51,133,80.66666667,1,1,24.33333333,12,12.33333333,8,104,33,0.333333333,0.333333333,72.66666667,13.66666667,0,19.66666667,15.66666667,0.333333333,0,116.6666667,41.33333333,0.336666667,0,2.333333333,0.666666667,0.193333333,138.6666667,60.33333333,9,900,0,0,0,2,0,0,0,2,"Orthodox",175.26,177.8,155,30,0.440677966125395,0.805970149374025,0.79999999964,0.682692307692308,0.351351351176041,0,0.694805194817845,0.373831775765132,0.198051948032341,0.918032787199678,0.107142857149814,0.787878787909091,0.440677966125395,0.805970149374025,0.79999999964,0.682692307692308,0.351351351176041,0,102.66666666,0.694805194817845,0.373831775765132,0.198051948032341,0.918032787199678,0.107142857149814,0.787878787909091,NA
"Drew Dober",2016-07-23,2,0,0,9.2,5.2,11.2,6.6,75.6,19.6,1.2,1.2,70.8,16.4,0,8,5.8,0.6,0,88,27.4,0.27,0.2,3,0,0,101.6,39.4,1,4,10.6,8.6,9.4,6,77.4,31,0,0,72,25,0,4.2,3.4,0.8,0,86.8,37,0.554,0.4,2.6,0.8,0.166,97,45.8,10,486.2,0,0,0,0,0,1,0,1,"Southpaw",172.72,177.8,155,27,0.259259259259259,0.589285714285714,1,0.599483204134367,0.361702127659575,0,0.804545454545455,0.231638418079096,0.104545454545455,0.565217391304348,0.0909090909090909,0.725,0.259259259259259,0.589285714285714,1,0.599483204134367,0.361702127659575,0,88,0.804545454545455,0.231638418079096,0.104545454545455,0.565217391304348,0.0909090909090909,0.725,"/fighter/Drew-Dober-23982"
"Drew Fickett",2019-03-23,0,2,0,1,0.333333333,1.666666667,1,6.666666667,1.333333333,1,0.666666667,7,1.666666667,0.333333333,1.333333333,1,0.666666667,0,9.333333333,3,0.33,2,1,0.666666667,0.22,22,14.33333333,2,1,1,0.666666667,1.333333333,1,3.333333333,1.333333333,10,4.666666667,13.33333333,6,0,0.333333333,0.333333333,3.333333333,0,14.66666667,7,0.32,0.333333333,2.666666667,2,0.333333333,86.33333333,77,5,414.3333333,0,0,0,0,0,2,0,2,"Orthodox",177.8,177.8,155,26,0.19999999994,0.59999999988,0.666666667,0.60000000006,0.2499999998125,0.5333333333,0.750000000026786,0.238095238142857,0.107142857146684,0.333333333,0.142857142826531,0.7500000001875,0.19999999994,0.59999999988,0.666666667,0.60000000006,0.2499999998125,0.5333333333,9.333333333,0.750000000026786,0.238095238142857,0.107142857146684,0.333333333,0.142857142826531,0.7500000001875,"/fighter/Drew-Fickett-725"
"Drew McFedries",2019-05-04,0,1,0,2.666666667,2.333333333,4,2,22,9.333333333,7.333333333,6,29.66666667,14.33333333,1,1,0.666666667,0.333333333,0,33.33333333,17.33333333,0.533333333,0,0.333333333,0.333333333,0.333333333,35.66666667,19.66666667,1,1,5,3.333333333,10.33333333,6.333333333,18.66666667,8.333333333,1.666666667,1.333333333,25.33333333,12.33333333,0,0.333333333,0.333333333,0.333333333,0,30.66666667,16,0.503333333,0.333333333,1,0.333333333,0.333333333,36.33333333,21.33333333,3,175.3333333,0,0,0,0,2,0,0,2,"Southpaw",182.88,182.88,185,29,0.424242424227273,0.5,0.818181818219008,0.553571428669005,0.387096774028096,0.20000000036,0.8900000000021,0.483146067249085,0.0800000000012,0.874999999765625,0.0299999999967,0.666666667,0.424242424227273,0.5,0.818181818219008,0.553571428669005,0.387096774028096,0.20000000036,33.333333337,0.8900000000021,0.483146067249085,0.0800000000012,0.874999999765625,0.0299999999967,0.666666667,"/fighter/Drew-McFedries-2386"
"Duane Ludwig",2019-03-23,0,1,0,25,22,11,10,24,12,22,16,29,13,0,3,3,0,0,57,38,0.66,0,0,0,0,101,73,1,0,8,3,0,0,25,11,38,13,44,13,0,11,8,5,0,63,24,0.38,0,6,3,0.5,96,52,3,900,0,0,0,1,0,0,0,1,"Orthodox",177.8,177.8,170,27,0.5,0.909090909090909,0.727272727272727,0.56,0,0.657894736842105,0.508771929824561,0.448275862068966,0.43859649122807,0.88,0.0526315789473684,1,0.5,0.909090909090909,0.727272727272727,0.56,0,0.657894736842105,57,0.508771929824561,0.448275862068966,0.43859649122807,0.88,0.0526315789473684,1,"/fighter/Duane-Ludwig-101"
"Dustin Hazelett",2019-06-08,2,0,0,3.666666667,2.444444444,2.111111111,1.444444444,24.33333333,8.888888889,6.777777778,3.222222222,27.77777778,9.888888889,0,1.777777778,1.222222222,0,0.111111111,33.22222222,13.55555556,0.412222222,1.666666667,0.444444444,0.222222222,0.222222222,38.88888889,18.88888889,3,4,6.555555556,5.333333333,6.333333333,4.222222222,23.55555556,9.888888889,8.111111111,6.111111111,27.77777778,12.33333333,0.333333333,3.666666667,2.555555556,1.111111111,0,38,20.22222222,0.472222222,0.111111111,1.666666667,1.222222222,0.611111111,51.66666667,33.55555556,14,345.6666667,0,0,0,1,0,4,0,5,"Orthodox",185.42,193.04,170,24,0.365296803707575,0.684210526141274,0.4754098360172,0.580188679319776,0.333333333333333,0.246575342469131,0.836120401334773,0.35599999997552,0.110367892977394,0.666666666484849,0.0535117056878335,0.687499999789063,0.365296803707575,0.684210526141274,0.4754098360172,0.580188679319776,0.333333333333333,0.246575342469131,33.222222225,0.836120401334773,0.35599999997552,0.110367892977394,0.666666666484849,0.0535117056878335,0.687499999789063,"/fighter/Dustin-Hazelett-11481"
"Dustin Jacoby",2016-11-26,1,0,0,4,4,1,1,71,17,0,0,67,14,0,1,0,0,0,72,18,0.25,0,0,0,0,89,35,0,1,6,3,1,0,65,19,16,7,76,23,0,0,0,3,0,82,26,0.31,0,3,3,1,147,81,3,900,0,0,0,0,0,0,0,0,"Orthodox",193.04,198.12,185,23,0.23943661971831,1,0,0.707692307692308,1,0.5625,0.930555555555556,0.208955223880597,0.0555555555555556,1,0.0138888888888889,0,0.23943661971831,1,0,0.707692307692308,1,0.5625,72,0.930555555555556,0.208955223880597,0.0555555555555556,1,0.0138888888888889,0,"/fighter/Dustin-Jacoby-73825"
"Dustin Kimura",2018-03-03,0,1,0,3.333333333,3,1.333333333,1,32,8,3,1.666666667,29.33333333,5.666666667,0,3.666666667,2,1,0.333333333,36.33333333,10.66666667,0.243333333,2.333333333,0.333333333,0,0,40,14,1,1,4.666666667,3,4.333333333,3.333333333,30,13,8,3.333333333,33.33333333,13,0.333333333,4.333333333,3.666666667,0.333333333,0.333333333,42.33333333,19.66666667,0.446666667,0.333333333,2,1,0.61,48.33333333,23.66666667,5,362.6666667,0,0,0,0,0,2,0,2,"Orthodox",170.18,180.34,135,24,0.25,0.7500000001875,0.555555555666667,0.566666666666667,0.230769230786982,0.583333333375,0.807339449523609,0.193181818215134,0.0917431192652975,0.90000000009,0.100917431211093,0.545454545404959,0.25,0.7500000001875,0.555555555666667,0.566666666666667,0.230769230786982,0.583333333375,36.33333333,0.807339449523609,0.193181818215134,0.0917431192652975,0.90000000009,0.100917431211093,0.545454545404959,"/fighter/Dustin-Kimura-41247"
"Dustin Ortiz",2019-05-11,1,0,0,12.5,10.5,16.5,13,58.5,16,18.5,16,70,25,0,11,9.5,6.5,0,93.5,45,0.47,0,8.5,3,0.385,134,81.5,1,1,12.5,6.5,12.5,9,67.5,26.5,7.5,7.5,55.5,19,0,19.5,17.5,1,0,87.5,43,0.49,1.5,4,1,0.165,111,65,6,849.5,0,0,0,0,1,0,0,1,"Orthodox",165.1,165.1,125,25,0.273504273504274,0.787878787878788,0.864864864864865,0.607407407407407,0.28,0,0.748663101604278,0.357142857142857,0.133689839572193,0.84,0.117647058823529,0.863636363636364,0.273504273504274,0.787878787878788,0.864864864864865,0.607407407407407,0.28,0,93.5,0.748663101604278,0.357142857142857,0.133689839572193,0.84,0.117647058823529,0.863636363636364,"/fighter/Dustin-Ortiz-58097"
"Dustin Pague",2017-12-02,3,0,0,4,3,1.8,1.6,25.2,11.2,5.8,4.6,23.4,9.8,0,5.4,4.6,1.8,0.2,32.8,17.4,0.566,1.8,1.6,0.6,0.4,47,29,1,4,3.4,2.6,5,4.6,30.4,14.2,13.4,9.8,38.6,19.4,0.2,6.8,6.6,1.2,0.8,48.8,28.6,0.586,0.2,1.2,0.6,0.4,80.6,55.2,11,594,0,0,0,0,0,1,0,1,"Orthodox",175.26,187.96,135,26,0.444444444444444,0.888888888888889,0.793103448275862,0.532894736842105,0.0800000000000001,0.26865671641791,0.713414634146341,0.418803418803419,0.121951219512195,0.75,0.164634146341463,0.851851851851852,0.444444444444444,0.888888888888889,0.793103448275862,0.532894736842105,0.0800000000000001,0.26865671641791,32.8,0.713414634146341,0.418803418803419,0.121951219512195,0.75,0.164634146341463,0.851851851851852,"/fighter/Dustin-Pague-39781"
"Dustin Poirier",2019-01-19,0,1,0,5.5,3.833333333,23.33333333,12.66666667,65.83333333,30.5,5.166666667,2.333333333,79.83333333,33.83333333,0,9,7.833333333,1,0.5,94.33333333,45.5,0.458333333,0.833333333,3.166666667,1.166666667,0.313333333,108.1666667,57.33333333,4,1,11.16666667,7.666666667,10.5,5.333333333,65.83333333,25.16666667,3.333333333,2.5,61.33333333,19.83333333,0,7.166666667,5.5,1,0,79.66666667,33,0.405,1,2.833333333,1,0.203333333,106.8333333,57.83333333,14,602.8333333,0,0,0,2,0,3,0,5,"Southpaw",175.26,182.88,155,24,0.463291139263964,0.542857143077551,0.451612903132154,0.617721518917353,0.492063492095238,0.249999999925,0.846289752644745,0.423799582439407,0.0583038869278553,0.696969696909091,0.0954063604273995,0.870370370333333,0.463291139263964,0.542857143077551,0.451612903132154,0.617721518917353,0.492063492095238,0.249999999925,94.33333333,0.846289752644745,0.423799582439407,0.0583038869278553,0.696969696909091,0.0954063604273995,0.870370370333333,"/fighter/Dustin-Poirier-50529"
"Dwayne Cason",2013-05-25,0,1,0,0,0,0,0,0,0,22,11,22,11,0,0,0,0,0,22,11,0.5,0,1,1,1,36,25,1,0,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,2,1,0.5,0,0,0,0,15,11,1,223,0,0,0,0,1,0,0,1,"Orthodox",177.8,182.114440518473,212,29.6899842938263,0,0,0.5,0.5,0,0,1,0.5,0,0,0,0,0,0,0.5,0.5,0,0,22,1,0.5,0,0,0,0,"/fighter/Dwayne-Cason-177"
"Dwight Grant",2018-10-06,1,0,0,9,7,6,5,77,19,1,1,71,15,0,4,3,0,0,84,25,0.29,0,1,1,1,93,33,0,1,14,7,3,2,67,11,1,1,53,5,0,4,2,0,0,71,14,0.19,0,6,1,0.16,82,22,3,900,0,0,0,0,0,0,0,0,"Switch",185.42,193.04,170,34,0.246753246753247,0.833333333333333,1,0.835820895522388,0.333333333333333,0,0.845238095238095,0.211267605633803,0.107142857142857,0.777777777777778,0.0476190476190476,0.75,0.246753246753247,0.833333333333333,1,0.835820895522388,0.333333333333333,0,84,0.845238095238095,0.211267605633803,0.107142857142857,0.777777777777778,0.0476190476190476,0.75,NA
"Ed Herman",2018-02-18,1,0,0,9.615384615,8.307692308,8.923076923,6.230769231,18.84615385,4.769230769,18,12.46153846,34.76923077,14.23076923,0.153846154,1.384615385,0.923076923,2.307692308,0.307692308,45.76923077,23.46153846,0.530769231,0.923076923,3.846153846,2.076923077,0.555384615,78.76923077,53.84615385,3,6,4.461538462,3.923076923,4.923076923,3.769230769,16.84615385,8.307692308,6.923076923,4.769230769,21.53846154,10.53846154,0.076923077,2.692307692,2.384615385,1.230769231,0.461538462,28.69230769,16.84615385,0.616153846,1.307692308,2.153846154,0.692307692,0.155384615,48.84615385,35.23076923,27,499.6153846,1,0,0,1,2,4,0,7,"Orthodox",185.42,195.58,205,32,0.253061224425906,0.698275862100847,0.692307692222222,0.50684931516282,0.234375000034912,0.31111111113679,0.759663865550258,0.409292035367051,0.210084033601511,0.86400000006656,0.0302521008482311,0.666666666425926,0.253061224425906,0.698275862100847,0.692307692222222,0.50684931516282,0.234375000034912,0.31111111113679,45.76923077,0.759663865550258,0.409292035367051,0.210084033601511,0.86400000006656,0.0302521008482311,0.666666666425926,"/fighter/Ed-Herman-6561"
"Eddie Alvarez",2017-11-25,0,3,0,15,9.5,15.25,10.25,75.5,29.75,1.75,1.5,71.5,26.5,0,6,5.5,0.5,0,92.5,41.5,0.4625,0,8.5,2.5,0.25,112,57.5,3,1,16.75,11.75,11,6.5,97.5,40.25,2.75,1.5,85,27.25,0.25,9.5,9.25,0.25,0,111.25,48.25,0.4025,0,1,0,0,143.5,78.75,10,732.25,1,0,2,0,1,0,0,3,"Orthodox",175.26,175.26,155,32,0.394039735099338,0.672131147540984,0.857142857142857,0.587179487179487,0.409090909090909,0.454545454545455,0.772972972972973,0.370629370629371,0.162162162162162,0.633333333333333,0.0648648648648649,0.916666666666667,0.394039735099338,0.672131147540984,0.857142857142857,0.587179487179487,0.409090909090909,0.454545454545455,92.5,0.772972972972973,0.370629370629371,0.162162162162162,0.633333333333333,0.0648648648648649,0.916666666666667,"/fighter/Eddie-Alvarez-9265"
"Eddie Gordon",2018-08-04,2,0,0,0.333333333,0.333333333,2.666666667,1,53.66666667,14.33333333,9.333333333,7,65.33333333,22,0.333333333,0,0,0.666666667,0.333333333,65.66666667,22.33333333,0.436666667,0,1.666666667,1.666666667,0.666666667,93,47.33333333,1,2,4,3,3.333333333,2.666666667,52,15.66666667,2,1.666666667,51.33333333,15.33333333,0.333333333,2,1.666666667,0.666666667,0,57.33333333,20,0.42,0,4.666666667,1.333333333,0.25,73.33333333,35,6,486.3333333,1,0,0,0,1,0,0,1,"Orthodox",182.88,193.04,185,31,0.267080745262914,0.374999999953125,0.750000000026786,0.698717948653846,0.19999999982,0.1666666665,0.994923857872813,0.336734693894731,0.00507614212718699,1,0,0,0.267080745262914,0.374999999953125,0.750000000026786,0.698717948653846,0.19999999982,0.1666666665,65.666666663,0.994923857872813,0.336734693894731,0.00507614212718699,1,0,0,"/fighter/Eddie-Gordon-66410"
"Eddie Sanchez",2017-07-16,1,0,0,0.5,0.5,2,1.5,31,3,4,3,35,6,0.5,1.5,1,0,0,37,7.5,0.205,0,0,0,0,43.5,14,1,1,1.5,1.5,4,2.5,19.5,8.5,6,4,23.5,10,0.5,4.5,3.5,1.5,0,29.5,15,0.505,0,0.5,0.5,0.5,36.5,22,3,295,0,0,0,0,1,0,0,1,"Orthodox",187.96,187.96,230,24,0.0967741935483871,0.75,0.75,0.564102564102564,0.375,0.333333333333333,0.945945945945946,0.171428571428571,0.0135135135135135,1,0.0405405405405405,0.666666666666667,0.0967741935483871,0.75,0.75,0.564102564102564,0.375,0.333333333333333,37,0.945945945945946,0.171428571428571,0.0135135135135135,1,0.0405405405405405,0.666666666666667,"/fighter/Eddie-Sanchez-12098"
"Eddie Wineland",2019-03-09,2,0,0,12.75,6.666666667,2.666666667,1.75,119.75,31,5.333333333,3,112.6666667,27.08333333,0.5,2.333333333,2,0.25,0,127.75,35.75,0.256666667,0,0.833333333,0.166666667,0.110833333,130.75,38.75,2,7,14.33333333,8.083333333,3.583333333,2.75,112.3333333,38.66666667,4.666666667,2.083333333,94.58333333,26.41666667,0.166666667,11.66666667,9,0.083333333,0,120.5833333,43.5,0.393333333,0,3.666666667,0.25,0.035833333,124.6666667,47,29,668,1,0,1,0,4,0,0,5,"Orthodox",170.18,175.26,135,34,0.258872651356994,0.656249999917969,0.562500000035156,0.655786350016554,0.232558139463494,0.553571428674745,0.881930854566703,0.24038461528391,0.0998043052579762,0.522875817019608,0.018264840175321,0.857142857265306,0.258872651356994,0.656249999917969,0.562500000035156,0.655786350016554,0.232558139463494,0.553571428674745,127.750000033,0.881930854566703,0.24038461528391,0.0998043052579762,0.522875817019608,0.018264840175321,0.857142857265306,"/fighter/Eddie-Wineland-4173"
"Eddie Yagin",2013-04-20,1,0,0,0,0,1,1,25,9,0,0,25,9,0,1,1,0,0,26,10,0.38,2,0,0,0,40,20,0,1,13,11,2,2,34,17,54,44,59,40,0,18,12,2,0,90,63,0.7,0,8,3,0.37,204,164,3,900,0,0,0,0,0,0,0,0,"Orthodox",170.18,174.309535924824,145,33,0.36,1,0,0.5,0,0.185185185185185,0.961538461538462,0.36,0,0,0.0384615384615385,1,0.36,1,0,0.5,0,0.185185185185185,26,0.961538461538462,0.36,0,0,0.0384615384615385,1,"/fighter/Eddie-Yagin-2825"
"Edgar Garcia",2017-09-16,1,0,0,9,7,4,3,181,36,0,0,173,29,0,3,3,0,0,185,39,0.21,0,3,1,0.33,185,39,0,1,19,11,7,3,155,63,0,0,116,36,0,27,19,0,0,162,66,0.4,1,1,0,0,162,66,3,900,0,0,0,0,0,0,0,0,"Orthodox",177.8,180.34,170,25,0.198895027624309,0.75,0,0.593548387096774,0.571428571428571,0,0.935135135135135,0.167630057803468,0.0486486486486487,0.777777777777778,0.0162162162162162,1,0.198895027624309,0.75,0,0.593548387096774,0.571428571428571,0,185,0.935135135135135,0.167630057803468,0.0486486486486487,0.777777777777778,0.0162162162162162,1,"/fighter/Edgar-Garcia-23108"
"Edilberto de Oliveira",2018-06-09,1,0,0,15,15,3,1,139,45,0,0,110,20,0,17,11,0,0,142,46,0.32,0,5,0,0,142,46,0,1,7,6,5,4,183,71,10,3,153,44,1,38,28,0,0,198,78,0.39,0,0,0,0,200,80,3,637,0,0,0,0,0,0,0,0,"Orthodox",182.88,187.317710247572,170,24,0.323741007194245,0.333333333333333,0,0.612021857923497,0.2,0.7,0.774647887323944,0.181818181818182,0.105633802816901,1,0.119718309859155,0.647058823529412,0.323741007194245,0.333333333333333,0,0.612021857923497,0.2,0.7,142,0.774647887323944,0.181818181818182,0.105633802816901,1,0.119718309859155,0.647058823529412,"/fighter/Edilberto-de-Oliveira-11907"
"Edmen Shahbazyan",2015-06-06,0,1,0,8,6,15,11,21,10,1,1,25,12,0,4,4,3,0,37,22,0.59,0,21,8,0.38,43,27,1,0,6,4,16,12,40,11,15,11,63,29,0,2,1,0,0,71,34,0.47,0,3,1,0.33,84,46,3,900,0,0,1,0,0,0,0,1,"Orthodox",187.96,192.520979976671,185,21,0.476190476190476,0.733333333333333,1,0.725,0.25,0.266666666666667,0.675675675675676,0.48,0.216216216216216,0.75,0.108108108108108,1,0.476190476190476,0.733333333333333,1,0.725,0.25,0.266666666666667,37,0.675675675675676,0.48,0.216216216216216,0.75,0.108108108108108,1,NA
"Ednaldo Oliveira",2012-03-02,1,0,0,2,0,0,0,14,0,0,0,12,0,0,0,0,0,0,14,0,0,0,0,0,0,14,0,0,1,2,2,0,0,6,1,1,1,5,0,0,0,0,3,0,7,2,0.28,1,2,2,1,9,4,1,202,0,0,0,0,0,0,0,0,"Orthodox",195.58,200.66,205,29,0,0,0,0.833333333333333,0,0,0.857142857142857,0,0.142857142857143,0,0,0,0,0,0,0.833333333333333,0,0,14,0.857142857142857,0,0.142857142857143,0,0,0,"/fighter/Edinaldo-Oliveira-14972"
"Edson Barboza",2019-04-27,2,0,0,19.05263158,11.78947368,1.421052632,0.947368421,96.21052632,38.84210526,2.315789474,1.421052632,64.68421053,16.89473684,0.473684211,16.21052632,12.52631579,0.105263158,0,99.94736842,41.21052632,0.443157895,0.052631579,0.736842105,0.368421053,0.192631579,101.9473684,42.84210526,4,6,9.736842105,5.421052632,1.421052632,0.789473684,97.63157895,33.42105263,15.63157895,11.15789474,97.42105263,34.05263158,0.105263158,7.526315789,5.894736842,1.105263158,0,114.6842105,45.36842105,0.397368421,0.263157895,3.947368421,0.789473684,0.219473684,130.5263158,59.26315789,48,680.0526316,0,1,1,5,6,0,0,13,"Orthodox",180.34,190.5,155,32,0.403719912422157,0.666666666432099,0.613636363734504,0.657681940726208,0.444444444757202,0.286195286113435,0.647182727730373,0.261187957641755,0.190626645596416,0.618784530131559,0.162190626673211,0.772727272559032,0.403719912422157,0.666666666432099,0.613636363734504,0.657681940726208,0.444444444757202,0.286195286113435,99.94736843,0.647182727730373,0.261187957641755,0.190626645596416,0.618784530131559,0.162190626673211,0.772727272559032,"/fighter/Edson-Barboza-46259"
"Edward Faaloloto",2016-11-12,1,0,0,6,5,12,7,31,10,0,0,26,3,0,11,9,0,0,43,17,0.39,0,0,0,0,47,21,0,1,13,10,16,11,41,9,16,7,57,17,1,3,0,0,0,73,27,0.36,0,1,1,1,75,29,1,282,0,0,0,0,0,0,0,0,"",179.323332537028,177.8,155,27,0.32258064516129,0.583333333333333,0,0.780487804878049,0.3125,0.5625,0.604651162790698,0.115384615384615,0.13953488372093,0.833333333333333,0.255813953488372,0.818181818181818,0.32258064516129,0.583333333333333,0,0.780487804878049,0.3125,0.5625,43,0.604651162790698,0.115384615384615,0.13953488372093,0.833333333333333,0.255813953488372,0.818181818181818,"/fighter/Edward-Faaloloto-55070"
"Edwin DeWees",2011-12-30,1,0,0,4,3,4,4,2,0,0,0,2,1,0,0,0,1,0,6,4,0.66,1,1,1,1,15,13,0,1,15,15,24,21,4,3,18,13,30,21,1,1,1,0,0,46,37,0.8,0,0,0,0,53,44,1,215,0,0,0,0,0,0,0,0,"Orthodox",185.42,189.919345112121,185,23,0,1,0,0.25,0.125,0.277777777777778,0.333333333333333,0.5,0.666666666666667,0.75,0,0,0,1,0,0.25,0.125,0.277777777777778,6,0.333333333333333,0.5,0.666666666666667,0.75,0,0,NA
"Edwin Figueroa",2016-03-19,2,0,0,9.2,6.8,3.2,1.6,55.8,20.2,21.8,13.2,67.2,24.6,0.4,4.4,3.6,1,1,80.8,35,0.448,0.6,0.2,0.2,0.2,100.6,52.2,2,3,8.6,6,2.8,2,62.4,28.8,8.6,5.2,57,23.6,0.2,8.2,6.4,4.6,0,73.8,36,0.592,2.4,5.4,3,0.732,93,51,13,722,0,0,1,0,1,0,0,2,"Orthodox",170.18,175.26,135,29,0.362007168458781,0.5,0.605504587155963,0.538461538461538,0.285714285714286,0.395348837209302,0.831683168316832,0.366071428571429,0.113861386138614,0.739130434782609,0.0544554455445545,0.818181818181818,0.362007168458781,0.5,0.605504587155963,0.538461538461538,0.285714285714286,0.395348837209302,80.8,0.831683168316832,0.366071428571429,0.113861386138614,0.739130434782609,0.0544554455445545,0.818181818181818,"/fighter/Edwin-Figueroa-22490"
"Efrain Escudero",2018-04-21,0,1,0,8,4,9,6,13,4,23,17,22,9,0,15,14,5,0,45,27,0.6,0,8,7,0.87,104,81,1,0,9,4,11,7,40,11,4,2,36,9,0,10,7,1,1,55,20,0.36,2,1,0,0,132,95,3,900,1,0,0,1,0,0,0,1,"Orthodox",175.26,177.8,155,23,0.307692307692308,0.666666666666667,0.739130434782609,0.725,0.363636363636364,0.5,0.488888888888889,0.409090909090909,0.177777777777778,0.5,0.333333333333333,0.933333333333333,0.307692307692308,0.666666666666667,0.739130434782609,0.725,0.363636363636364,0.5,45,0.488888888888889,0.409090909090909,0.177777777777778,0.5,0.333333333333333,0.933333333333333,"/fighter/Efrain-Escudero-16555"
"Eiji Mitsuoka",2000-09-22,1,0,0,1,0,1,0,65,32,0,0,64,31,1,1,1,1,0,66,32,0.48,1,4,1,0.25,69,34,0,1,17,11,14,10,85,31,8,7,87,34,0,3,3,0,0,107,48,0.44,0,0,0,0,156,95,2,441,0,0,0,0,0,0,0,0,"Southpaw",170.18,174.309535924824,145,36,0.492307692307692,0,0,0.635294117647059,0.285714285714286,0.125,0.96969696969697,0.484375,0.0151515151515152,0,0.0151515151515152,1,0.492307692307692,0,0,0.635294117647059,0.285714285714286,0.125,66,0.96969696969697,0.484375,0.0151515151515152,0,0.0151515151515152,1,"/fighter/Eiji-Mitsuoka-2235"
"Elias Garcia",2016-11-19,1,0,0,6,3,2,2,52,17,0,0,36,6,0,12,10,0,0,54,19,0.35,0,0,0,0,76,41,0,1,6,4,5,3,34,17,5,5,36,20,0,2,1,1,0,44,25,0.56,1,3,2,0.66,45,26,2,420,0,0,0,0,0,0,0,0,"Southpaw",165.1,170.18,125,26,0.326923076923077,1,0,0.5,0.4,0,0.666666666666667,0.166666666666667,0.111111111111111,0.5,0.222222222222222,0.833333333333333,0.326923076923077,1,0,0.5,0.4,0,54,0.666666666666667,0.166666666666667,0.111111111111111,0.5,0.222222222222222,0.833333333333333,NA
"Elias Silverio",2016-07-08,1,0,0,28.25,18.75,16.25,12.25,99.25,42.75,11.25,7.75,80,30.5,0.25,18.5,13.5,2.25,0,126.75,62.75,0.505,0.25,1.75,1.5,0.625,167,97,3,1,15,9,9.25,6.75,83.5,34.5,4,3,70,25,0.5,11.75,10.25,0,0,96.75,44.25,0.42,0,5.75,0.5,0.14,107.5,55,12,889.5,0,0,0,2,0,1,0,3,"Orthodox",180.34,185.42,155,28,0.430730478589421,0.753846153846154,0.688888888888889,0.586826347305389,0.27027027027027,0.25,0.631163708086785,0.38125,0.222879684418146,0.663716814159292,0.145956607495069,0.72972972972973,0.430730478589421,0.753846153846154,0.688888888888889,0.586826347305389,0.27027027027027,0.25,126.75,0.631163708086785,0.38125,0.222879684418146,0.663716814159292,0.145956607495069,0.72972972972973,"/fighter/Elias-Silverio-88613"
"Elias Theodorou",2018-08-04,0,1,0,30.375,15,12.375,9.25,102.125,33.375,11.125,8.625,76.375,24.375,0,18.875,11.875,0.625,0.375,125.625,51.25,0.39875,0,5.25,1.625,0.3325,159.75,80.75,3,2,9.375,7,14.875,10.375,44,15,0.25,0.25,43.5,14.125,0,6.25,4.5,1,0.125,59.125,25.625,0.4225,0.375,3.5,1.625,0.34625,69,34.5,22,816,1,0,0,4,2,0,0,6,"Orthodox",185.42,190.5,185,29,0.326805385556916,0.747474747474748,0.775280898876405,0.659090909090909,0.302521008403361,0,0.607960199004975,0.319148936170213,0.241791044776119,0.493827160493827,0.150248756218905,0.629139072847682,0.326805385556916,0.747474747474748,0.775280898876405,0.659090909090909,0.302521008403361,0,125.625,0.607960199004975,0.319148936170213,0.241791044776119,0.493827160493827,0.150248756218905,0.629139072847682,"/fighter/Elias-Theodorou-81765"
